,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,eval/train_f1,eval/valid_f1,eval/test_f1,eval/expert_f1,eval/train_auprc,eval/valid_auprc,eval/test_auprc,eval/expert_auprc,eval/train_r_precision,eval/valid_r_precision,eval/test_r_precision,eval/expert_r_precision,_timestamp
27,iterate_strict-naive,valid_f1,0.008914578750208488,0.4875300957005621,0.5095540353155634,0.2997793808674369,0.41428230090788654,0.42851025091960304,0.3639401555753528,0.3594220592470751,0.9977231329690348,0.6268008785490247,0.586363691178333,0.659765147313285,0.4160716282487501,0.5575906510772528,0.5098934647839168,0.4964552293765127,20250407 23:00:19
28,iterate_strict-naive,valid_f1,0.375847821505105,0.3690853363717049,0.4522897875653871,0.3810248562140757,0.45325263433829377,0.45808443995231946,0.3826276514399513,0.3252598360613957,0.588061521346015,0.525784839048153,0.4573404429338633,0.5234930485771888,0.7684000481706826,0.8193055505038477,0.7567260532900133,0.5618768353108642,20250407 23:29:36
29,curriculum_strict-naive,valid_f1,0.29945310637224515,0.4424921203642838,0.4967834221940371,0.3386584792644281,0.4156729407034546,0.4510943948466536,0.344904094436323,0.3151944366749566,0.7010641633965182,0.5371668665908991,0.453495773116833,0.4997119746227112,0.5380376356810346,0.7268514987384533,0.6626600437545759,0.5292081019705682,20250408 00:22:29
30,iterate_strict-naive,valid_f1,0.03164554329301878,0.4625100525164894,0.5339253027458727,0.3447403161783107,0.4096821265890398,0.4471293667906258,0.3631784841097867,0.34409512894487326,0.989731329690346,0.6350230936825583,0.5570799780156335,0.6606935820804104,0.4141041410414104,0.5952063936250387,0.5147176967671734,0.48543111216030593,20250408 00:37:51
33,iterate_strict-naive,valid_f1,0.019537791400002984,0.46058203752514504,0.5297874427752898,0.3147177895749865,0.41164564419765426,0.44455217803038793,0.36912571888447926,0.3590112860747246,0.9771114689502752,0.6356739555656892,0.5746799686466143,0.6688221275058603,0.4159002027999819,0.6189637962928901,0.5496588013567516,0.5293622764161002,20250408 01:52:21
36,iterate_strict-loose,valid_f1,0.011229607226551409,0.4656590148611271,0.5002335569445832,0.31773437597347715,0.41682055465515855,0.4373222143202418,0.3897752932389209,0.3729922796138178,0.9947632058287796,0.6348846473790491,0.5886291877082876,0.686274727294607,0.42113400300669673,0.6132125021707756,0.5559803275087088,0.5110844946991658,20250408 02:59:10
37,iterate_strict-loose,valid_f1,0.21090501816135732,0.3276914330427115,0.425894917266126,0.4154521453519471,0.7025091545053513,0.4851464881996968,0.39008230887947126,0.3419240548235703,0.6744681594421025,0.489510830132,0.4275712436698089,0.4986805251266266,0.8853509993485457,0.8959477124183007,0.8508445049574082,0.6328315789473684,20250408 03:34:07
38,curriculum_strict-loose,valid_f1,0.31309798272283096,0.37345586421581994,0.4555843799554327,0.38735164570045033,0.4634782175725979,0.45219737759242534,0.3678828515365932,0.32986815274325937,0.688562414232509,0.49186719286325337,0.4176957566351224,0.4966496830929667,0.5533632831125102,0.7976496815528425,0.7465627356219394,0.5777137319569742,20250408 04:13:16
39,iterate_strict-loose,valid_f1,0.007714417473824085,0.4369653025444782,0.5240929630537918,0.2903714648375584,0.4186614772153407,0.4343500518933035,0.3669571447499614,0.3570342301024412,0.998406193078324,0.601774124852259,0.5918167866544559,0.6567150408327908,0.4201858685253519,0.5754724241029886,0.5389115043627314,0.5080001630644546,20250408 04:29:56
42,iterate_strict-loose,valid_f1,0.025315592679551708,0.4884596623302825,0.510887690333348,0.3323521361432117,0.40885995519174106,0.4353684489344072,0.3725904968608847,0.3560606457862545,0.98259231660871,0.6354426430425631,0.553604238085383,0.6804643449293961,0.41147931087154016,0.6014890675386723,0.5465179701830637,0.5112506921301151,20250408 05:40:10
